BetweenArms.Ratio	BetweenArms.LL_CI95	BetweenArms.UL_CI95	BetweenArms.n	Overtime.Ratio	Overtime.LL_CI95	Overtime.UL_CI95	Overtime.n	Full.Ratio	Full.LL_CI95	Full.UL_CI95	Full.n
	0.885777132835128	0.809624279657844	0.969092885140748	208	0.859814985697707	0.755247674442805	0.978860094042347	95	0.869105415171347	0.765219431103357	0.987094932483668	95
No	0.950335678194449	0.860021433176501	1.05013417853268	125	0.957397793616879	0.855345873055663	1.07162560093725	57	0.961067356112473	0.856321918252662	1.07862527315632	57
Yes	0.802524754072821	0.681332768769262	0.945273749364831	83	0.739793762531765	0.589213190998812	0.928857023979982	38	0.789638346717417	0.660118478630814	0.944570919905027	38
Non-Pharmacological	0.901581151977556	0.820073582481592	0.991189804141049	122	0.898163401849612	0.777045159770536	1.03816037752592	52	0.893750902263512	0.760127523462288	1.05086403352223	52
Pharmacological	0.860596646813945	0.728792327334005	1.01623818024634	86	0.939379474234596	0.776756767350381	1.13604906156578	43	0.871770487586713	0.717570092213028	1.05910738375862	43
Measured	0.915016481441707	0.813132212712439	1.02966669899481	133	0.886950404819868	0.771927933700817	1.01911200031145	70	0.871395370245945	0.754222500151608	1.00677173000465	70
Scored	0.849695326996964	0.737427246297956	0.979055428647347	75	0.945921974396121	0.773236114316717	1.15717355291421	25	0.860920172509819	0.745706130954038	0.993935161141943	25
Acute	0.851715891092287	0.742204696960273	0.977385298301281	75	0.809237557352051	0.640044615564246	1.02315589929899	36	0.804807273944979	0.624394885845693	1.0373479393853	36
Chronic	0.916466315191516	0.796157022893331	1.05495584756431	101	0.914511325031961	0.775567080517401	1.07834768212928	46	0.932430909705625	0.800980233754114	1.08545425309628	46
Assessed	0.823702368123283	0.709557334504877	0.956209679271862	83	0.770954846378797	0.586885180529661	1.01275580790528	34	0.78198539499514	0.60646043249969	1.00831171370115	34
Automatic	0.937522132954793	0.839218549838992	1.04734070755316	125	0.949017912538602	0.844198434982535	1.06685224823682	61	0.89765153823718	0.791460406408587	1.01809045351486	61
