"theta"	"prop_random"	"iteration"	"mu"	"tau"	"I2"
6.5	0.05	1	-0.06539301428854	0.269750911828043	50.797689747876
6.5	0.05	2	-0.062354899052254	0.240042777095148	44.9919871854655
6.5	0.05	3	-0.0654728122769929	0.343057208532038	62.563506108008
6.5	0.05	4	-0.0967934577151165	0.307581248634676	57.3126659531066
6.5	0.05	5	-0.0537337396065186	0.23887079767217	44.762189322466
6.5	0.05	6	-0.023181527589431	0	0
6.5	0.05	7	-0.144157688311888	0.47165559709576	75.9532989557015
6.5	0.05	8	-0.0365646492027942	0.0769329408637063	7.7466654206948
6.5	0.05	9	-0.0791360616422041	0.318633338284619	59.0222248922322
6.5	0.05	10	-0.0715819172644204	0.302247907162684	56.4286681205898
6.5	0.05	11	-0.0951356432882832	0.3481172726576	63.2042283723467
6.5	0.05	12	-0.0382923695312282	0.260458906994938	49.0637130287059
6.5	0.05	13	-0.142804007212926	0.505667017832887	78.4008537253591
6.5	0.05	14	-0.0899753128897516	0.349164941372044	63.3706559184582
6.5	0.05	15	-0.0950103629837901	0.349961703600133	63.4506894355303
6.5	0.05	16	-0.0407853352155936	0.131090977046805	19.5983832552568
6.5	0.05	17	-0.0590117730254599	0.316994031782444	58.7756594111449
6.5	0.05	18	-0.054088202932663	0.235759138953517	44.0977728204015
6.5	0.05	19	-0.105432909690885	0.402204559520811	69.6456439500276
6.5	0.05	20	-0.071296806763433	0.221625588900752	41.0637403492782
6.5	0.05	21	-0.0966455036358665	0.356757184567564	64.3746673648924
6.5	0.05	22	-0.127173689057015	0.435954744011776	72.9558193272886
6.5	0.05	23	-0.0262458675873814	0.000299752089268943	0.000127478693238324
6.5	0.05	24	-0.0134669425203494	0	0
6.5	0.05	25	-0.085724991812643	0.381706582562445	67.4057668123192
6.5	0.05	26	-0.120230249622168	0.459288336172799	74.9713529166291
6.5	0.05	27	-0.0837387096604466	0.290458136038141	54.507511558897
6.5	0.05	28	-0.037733924678789	0.143800091183661	22.7058544217466
6.5	0.05	29	NA	NA	NA
6.5	0.05	30	-0.0819627734773106	0.367058388382977	65.6674969698498
6.5	0.05	31	-0.0955926090675311	0.387645939777679	68.1075761108759
6.5	0.05	32	-0.0665260315204953	0.197103034450579	35.5700453758863
